sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
108;pms5003;3520;-26.689;27.817;2021-05-13T15:36:34.788304+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:36:34.788304+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T15:36:47.259767+00:00;humidity;35.60
107;DHT22;3520;-26.689;27.817;2021-05-13T15:36:47.259767+00:00;temperature;20.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:37:36.794572+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:37:36.794572+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:37:36.794572+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T15:37:49.342472+00:00;humidity;35.50
107;DHT22;3520;-26.689;27.817;2021-05-13T15:37:49.342472+00:00;temperature;20.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:38:39.079416+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:38:39.079416+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:38:39.079416+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T15:38:51.609573+00:00;humidity;35.50
107;DHT22;3520;-26.689;27.817;2021-05-13T15:38:51.609573+00:00;temperature;20.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:39:41.419075+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:39:41.419075+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:39:41.419075+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T15:39:53.945404+00:00;humidity;35.50
107;DHT22;3520;-26.689;27.817;2021-05-13T15:39:53.945404+00:00;temperature;19.90
108;pms5003;3520;-26.689;27.817;2021-05-13T15:40:45.971576+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:40:45.971576+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:40:45.971576+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T15:40:58.454153+00:00;humidity;35.60
107;DHT22;3520;-26.689;27.817;2021-05-13T15:40:58.454153+00:00;temperature;19.70
108;pms5003;3520;-26.689;27.817;2021-05-13T15:41:48.603071+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T15:41:48.603071+00:00;P1;0.00
